Abbott, Diane (Labour)
Abrahams, Debbie (Labour)
Adams, Nigel (Conservative)
Afriyie, Adam (Conservative)
Ainsworth, Bob (Labour)
Aldous, Peter (Conservative)
Alexander, Danny (Liberal Democrat)
Alexander, Douglas (Labour)
Alexander, Heidi (Labour)
Ali, Rushanara (Labour)
Allen, Graham (Labour)
Amess, David (Conservative)
Anderson, David (Labour)
Andrew, Stuart (Conservative)
Arbuthnot, James (Conservative)
Ashworth, Jonathan (Labour)
Austin, Ian (Labour)
Bacon, Richard (Conservative)
Bailey, Adrian (Labour (Co-op))
Bain, William (Labour)
Baker, Norman (Liberal Democrat)
Baker, Steve (Conservative)
Baldry, Tony (Conservative)
Baldwin, Harriett (Conservative)
Balls, Ed (Labour (Co-op))
Banks, Gordon (Labour)
Barclay, Stephen (Conservative)
Barker, Gregory (Conservative)
Baron, John (Conservative)
Barron, Kevin (Labour)
Barwell, Gavin (Conservative)
Bayley, Hugh (Labour)
Bebb, Guto (Conservative)
Beckett, Margaret (Labour)
Begg, Anne (Labour)
Beith, Alan (Liberal Democrat)
Bellingham, Henry (Conservative)
Benn, Hilary (Labour)
Benton, Joe (Labour)
Benyon, Richard (Conservative)
Bercow, John (Speaker)
Beresford, Paul (Conservative)
Berger, Luciana (Labour (Co-op))
Berry, Jake (Conservative)
Betts, Clive (Labour)
Bingham, Andrew (Conservative)
Binley, Brian (Conservative)
Birtwistle, Gordon (Liberal Democrat)
Blackman, Bob (Conservative)
Blackman-Woods, Roberta (Labour)
Blackwood, Nicola (Conservative)
Blears, Hazel (Labour)
Blenkinsop, Tom (Labour)
Blomfield, Paul (Labour)
Blunkett, David (Labour)
Blunt, Crispin (Conservative)
Boles, Nick (Conservative)
Bone, Peter (Conservative)
Bottomley, Peter (Conservative)
Bradley, Karen (Conservative)
Bradshaw, Ben (Labour)
Brady, Graham (Conservative)
Brake, Tom (Liberal Democrat)
Bray, Angie (Conservative)
Brazier, Julian (Conservative)
Brennan, Kevin (Labour)
Bridgen, Andrew (Conservative)
Brine, Steve (Conservative)
Brokenshire, James (Conservative)
Brooke, Annette (Liberal Democrat)
Brown, Gordon (Labour)
Brown, Lyn (Labour)
Brown, Nicholas (Labour)
Brown, Russell (Labour)
Browne, Jeremy (Liberal Democrat)
Bruce, Fiona (Conservative)
Bruce, Malcolm (Liberal Democrat)
Bryant, Chris (Labour)
Buck, Karen (Labour)
Buckland, Robert (Conservative)
Burden, Richard (Labour)
Burley, Aidan (Conservative)
Burnham, Andy (Labour)
Burns, Conor (Conservative)
Burns, Simon (Conservative)
Burrowes, David (Conservative)
Burstow, Paul (Liberal Democrat)
Burt, Alistair (Conservative)
Burt, Lorely (Liberal Democrat)
Byles, Dan (Conservative)
Byrne, Liam (Labour)
Cable, Vince (Liberal Democrat)
Cairns, Alun (Conservative)
Cameron, David (Conservative)
Campbell, Alan (Labour)
Campbell, Gregory (Democratic Unionist)
Campbell, Menzies (Liberal Democrat)
Campbell, Ronnie (Labour)
Carmichael, Alistair (Liberal Democrat)
Carmichael, Neil (Conservative)
Carswell, Douglas (Conservative)
Cash, William (Conservative)
Caton, Martin (Labour)
Champion, Sarah (Labour)
Chapman, Jenny (Labour)
Chishti, Rehman (Conservative)
Chope, Christopher (Conservative)
Clappison, James (Conservative)
Clark, Greg (Conservative)
Clark, Katy (Labour)
Clarke, Kenneth (Conservative)
Clarke, Tom (Labour)
Clegg, Nick (Liberal Democrat)
Clifton-Brown, Geoffrey (Conservative)
Clwyd, Ann (Labour)
Coaker, Vernon (Labour)
Coffey, Ann (Labour)
Coffey, Thérèse (Conservative)
Collins, Damian (Conservative)
Colvile, Oliver (Conservative)
Connarty, Michael (Labour)
Cooper, Rosie (Labour)
Cooper, Yvette (Labour)
Corbyn, Jeremy (Labour)
Cox, Geoffrey (Conservative)
Crabb, Stephen (Conservative)
Crausby, David (Labour)
Creagh, Mary (Labour)
Creasy, Stella (Labour (Co-op))
Crockart, Mike (Liberal Democrat)
Crouch, Tracey (Conservative)
Cruddas, Jon (Labour)
Cryer, John (Labour)
Cunningham, Alex (Labour)
Cunningham, Jim (Labour)
Cunningham, Tony (Labour)
Curran, Margaret (Labour)
Dakin, Nic (Labour)
Danczuk, Simon (Labour)
Darling, Alistair (Labour)
Davey, Edward (Liberal Democrat)
David, Wayne (Labour)
Davidson, Ian (Labour (Co-op))
Davies, David T. C. (Conservative)
Davies, Geraint (Labour (Co-op))
Davies, Glyn (Conservative)
Davies, Philip (Conservative)
Davis, David (Conservative)
de Bois, Nick (Conservative)
De Piero, Gloria (Labour)
Denham, John (Labour)
Dinenage, Caroline (Conservative)
Djanogly, Jonathan (Conservative)
Dobbin, Jim (Labour (Co-op))
Dobson, Frank (Labour)
Docherty, Thomas (Labour)
Dodds, Nigel (Democratic Unionist)
Doherty, Pat (Sinn Fein)
Donaldson, Jeffrey M. (Democratic Unionist)
Donohoe, Brian H. (Labour)
Doran, Frank (Labour)
Dorrell, Stephen (Conservative)
Dorries, Nadine (Conservative)
Doughty, Stephen (Labour (Co-op))
Dowd, Jim (Labour)
Doyle, Gemma (Labour (Co-op))
Doyle-Price, Jackie (Conservative)
Drax, Richard (Conservative)
Dromey, Jack (Labour)
Duddridge, James (Conservative)
Dugher, Michael (Labour)
Duncan, Alan (Conservative)
Duncan Smith, Iain (Conservative)
Dunne, Philip (Conservative)
Durkan, Mark (Social Democratic & Labour Party)
Eagle, Angela (Labour)
Eagle, Maria (Labour)
Edwards, Jonathan (Plaid Cymru)
Efford, Clive (Labour)
Elliott, Julie (Labour)
